الجهة الحكوميه
رئاسة الهيئة الملكية للجبيل وينبع
الادارة العامة لمشروع الجبيل
برنامج الخدمات الصحيه بالهيئة الملكية بالجبيل
برنامج رأس الخير
برنامج الخدمات الصحية بالهيئة الملكية برأس الخير
الادارة العامة لمشروع ينبع
برنامج الخدمات الصحية بالهيئة الملكية بينبع
مدينة جازان للصناعات الاساسية والتحويلية
مستشفى الملك فيصل التخصصي ومركز الأبحاث
مستشفى الملك فيصل التخصصي ومركز الابحاث-جدة
مستشفى الملك فيصل التخصصي ومركز الأبحاث-المدينة
إعانة مستشفى الملك فيصل التخصصي ومركز الأبحاث
هيئة السوق المالية
صندوق التنمية السياحية
وزارة الخارجية - الديوان العام
معهد الأمير سعود الفيصل للدراسات الدبلوماسية
وزارة الاقتصاد والتخطيط - الديوان العام
المنتدى الاقتصادي العالمي
وزارة الاقتصاد والتخطيط ( الديوان العام )
الهيئة العامة للإحصاء
وزارة الدفاع - الديوان العام
الشؤون التنفيذية بوزارة الدفاع
رئاسة هيئة الأركان العامة
القوات البرية
القوات الجوية
هيئة الإمدادت والتموين
كلية الملك فيصل الجويه
القوات البحرية
مركز التشغيل والصيانه بالرياض
مركز التشغيل والصيانه بالدمام
مركز التشغيل والصيانه براس مشعاب
مركز التشغيل والصيانه بجازان
ادارة التموين
قوات الدفاع الجوي
قوة الصواريخ الاستراتيجيه
كلية الملك عبدالله  للدفاع الجوي
كلية الملك عبدالعزيز الحربية
كلية الملك فيصل الجوية
الادارة العامة للخدمات الطبية للقوات المسلحة
الإدارة العامة للخدمات الطبية للقوات المسلحة ( إدارة البرامج والعقود )
المستشفيات المتنقلة
الإدارة الهندسية والأشغال
مستشفى القوات المسلحة بالرياض
مركز الأمير سلطان لأمراض وجراحة القلب
مستشفيات الهدا والأمير سلطان والأمير منصور ومركز التأهيل
الإخلاء الطبي
مستشفيات القوات المسلحة بالخرج
مستشفى المدينة المنورة
مستشفى الملك فهد بجدة
مستشفى حفر الباطن
مستشفى تبوك
مستشفى القوات المسلحة بجازان
مستشفى قاعدة الملك عبدالعزيز الجوية بالظهران
مستشفى خميس مشيط
مستشفى مجمع الملك فهد الطبي بالظهران
كلية الأمير سلطان العسكرية للعلوم الصحية
مستشفى نجران
مستشفى القوات المسلحة بالقصيم
مستشفى وادي الدواسر
مستشفى شرورة
مستشفى الجبيل
معهد الأمير عبدالرحمن بن عبدالعزيز لطب الأسنان
الإدارة العامة للأشغال العسكرية
إدارة التموين
المستشفيات الصغيرة
إدارة التخطيط والميزانية والمتابعة
إدارة الاستثمار وتنمية الايرادات
إدارة المشتريات
المؤسسة العامة للخطوط الجوية العربية السعودية
المؤسسة العامة للصناعات العسكرية
كلية الملك فهد البحرية
كلية الملك عبدالله للدفاع الجوي
الهيئة العامة للمساحة والمعلومات الجيومكانية
قوة الصواريخ الاستراتيجية
وزارة الداخلية - الديوان العام
الإدارة العامة للخدمات الطبية
إسكان قوى الأمن بجدة
إسكان قوى الأمن بنجران
إسكان قوى الأمن بشرورة
إسكان قوى الأمن بعرعر وطريف
إسكان قوى الأمن بتبوك
إسكان قوى الأمن بالظهران
إسكان قوى الأمن بالخفجي
إسكان قوى الأمن بحفر الباطن
إسكان قوى الأمن بالرياض
إسكان قوى الأمن بمكة المكرمة
إسكان قوى الأمن بالمنطقة الشرقية
وحدة الكفاءات
برنامج المدن الطبية
وكالة وزارة الداخلية لشؤون الأفواج الأمنية
مستشفى قوى الأمن بمنطقة مكة المكرمة
مستشفى قوى الأمن بالدمام
مستشفى قوى الأمن بمنطقة الرياض
القوات الخاصة للأمن والحماية
لإدارة العامة لأندية منسوبي وزارة الداخلية
الإدارة العامة لصحة السجون
القوات الخاصة للأمن البيئي
الخدمات الطبية بوزارة الداخلية
البرنامج الوطني للتنمية المجتمعية في المناطق
الأمن العام
الأمن العام ( الإدارة العامة لدوريات الأمن)
الإدارة العامة للأمن والحماية
الشؤون الإدارية والمالية
التخطيط والتطوير
شؤون الأمن
الأمن العام ( الإمداد والتموين)
الأمن العام ( أمن الحج والعمرة)
الأمن العام ( شؤون التدريب)
الأمن العام ( شرطة منطقة الرياض)
الأمن العام ( شرطة منطقة مكة المكرمة)
الأمن العام ( شرطة منطقة المدينة المنورة)
الأمن العام ( شرطة المنطقة الشرقية)
الأمن العام ( شرطة منطقة القصيم)
الأمن العام ( شرطة منطقة عسير)
الأمن العام ( شرطة منطقة حائل)
الأمن العام ( شرطة منطقة الباحة)
الأمن العام ( شرطة منطقة تبوك)
الأمن العام ( شرطة منطقة جازان)
الأمن العام ( شرطة منطقة نجران)
الأمن العام ( شرطة منطقة الحدود الشمالية)
الأمن العام ( شرطة منطقة الجوف)
الأمن العام ( القوات الخاصة لأمن الطرق)
الأمن العام ( القوات الخاصة للأمن الدبلوماسي)
الأمن العام ( الإدارة العامة للمرور)
الإدارة العامة للمشاريع والصيانة
الأمن العام ( الإدارة العامة لأنظمة الاتصالات)
الأمن العام ( الإدارة العامة للأدلة الجنائية)
الأمن العام (التقنية والذكاء الاصطناعي)
الإدارة العامة للأسلحة والمتفجرات
الإدارة العامة للميزانية
الأمن العام ( الإدارة العامة للعلاقات والإعلام)
الإدارة العامة للشؤون القانونية
الأمن العام ( الإدارة العامة للمشتريات والعقود)
الأمن العام (الجهاز الرئيسي)
الامن العام
الادارة العامة للسجون
الادارة العامة لمكافحة المخدرات
شرطة منطقة الرياض
شرطة منطقة مكة المكرمة
شرطة المنطقة الشرقية
شرطة منطقة المدينة المنورة
شرطة منطقة حائل
شرطة منطقة الحدود الشمالية
شرطة منطقة تبوك
الدفاع المدني
ادارة الشؤون الفنية المركزية بمنطقة الرياض
ادارة الشؤون الفنية المركزية بمنطقة مكة المكرمة
ادارة الشؤون الفنية بالمشاعر والعاصمة المقدسة
ادارة الشؤون الفنية المركزية بمنطقة المدينةالمنورة
ادارة الشؤون الفنية المركزية بالمنطقة الشرقية
ادارة الشؤون الفنية المركزية بمنطقة القصيم
ادارة الشؤون الفنية المركزية بمنطقة حائل
ادارة الشؤون الفنية المركزية بمنطقة الجوف
ادارة الشؤون الفنية المركزية بمنطقة تبوك
ادارة الشؤون الفنية المركزية بمنطقة الحدودالشمالية
ادارة الشؤون الفنية المركزية بمنطقة الباحة
ادارة الشؤون الفنية المركزية بمنطقة عسير
ادارة الشؤون الفنية المركزية بمنطقة جازان
ادارة الشؤون الفنية المركزية بمنطقة نجران
الادارة العامة للصيانة
الادارة العامة للشؤون الهندسية
الادارة العامة للاتصالات
ادارة المشتريات
المباحث العامة
المديرية العامة لحرس الحدود
حرس الحدود - شؤون الطيران
إدارةتقنية المعلومات
حرس الحدود - الشؤون الهندسية
إدارة الشؤون البحرية
حرس الحدود - الموارد البشرية
حرس الحدود - التقنية والذكاء الاصطناعي
إدارة الأتصالات
إدارة نظم المراقبة
الإدارة العامة للصيانة والنقل
الإدارة العامة للشؤون الهندسية / إدارة الطرق
الإدارة العامة للشؤون الهندسية /إدارة المشاريع
حرس الحدود - الشؤون الطبية
إدارة الأعلام
حرس الحدود - الإعلام والاتصال المؤسسي
قيادة منطقة الحدود الشمالية
قيادة حرس الحدود بمنطقة عسير
قيادة حرس الحدود بمنطقة مكة المكرمة
قيادة حرس الحدود بمنطقة المدينة المنورة
الإدارة العامة للشؤون الهندسية / إدارة الأسكان
حرس الحدود - الصيانة والنقل
الإدارة العامة للصيانة والنقل / صيانة الآليات
الإدارة العامة للصيانة والنقل / الأسناد الفني
حرس الحدود - العقود والاعتمادات المستندية
حرس الحدود - الشؤون البحرية
حرس الحدود - الإمدادات والتموين
المدير العامة لحرس الحدود / الرياض
كلية الملك فهد الامنية
قوات الأمن الخاصة
المديرية العامة للجوازات
الادارة العامة للمجاهدين
أمارة منطقة الرياض
أمارة منطقة مكة المكرمة
أمارة المنطقة الشرقية
أمارة منطقة المدينة المنورة
أمارة منطقة حائل
أمارة منطقة القصيم
أمارة منطقة الحدود الشمالية
أمارة منطقة عسير
أمارة منطقة تبوك
أمارة منطقة الجوف
أمارة منطقة الباحة
أمارة منطقة جازان
أمارة منطقة نجران
المديرية العامة للسجون
المديرية العامة للأحوال المدنية
قوة أمن المنشآت
المديرية العامة لمكافحة المخدرات
إدارة مكافحة المخدرات بمنطقة الرياض
إدارة مكافحة المخدرات بمنطقة مكة المكرمة
إدارة مكافحة المخدرات بالمنطقة الشرقية
إدارة مكافحة المخدرات بمنطقة المدينة المنورة
إدارة مكافحة المخدرات بمنطقة الحدود الشمالية
إدارة مكافحة المخدرات بمنطقة جازان
إدارة مكافحة المخدرات بمنطقة نجران
إدارة مكافحة المخدرات بمنطقة القصيم
إدارة مكافحة المخدرات بمنطقة حائل
إدارة مكافحة المخدرات بمنطقة عسير
إدارة مكافحة المخدرات بمنطقة الجوف
إدارة مكافحة المخدرات بمنطقة تبوك
إدارة مكافحة المخدرات بمنطقة الباحة
وزارة البلديات والإسكان
أمانة العاصمة المقدسة
بلدية محافظة الجموم
بلدية عسفان
بلدية مدركة
أمانة منطقة المدينة المنورة
هيئة تطوير المدينة المنوره
بلدية محافظة ينبع
بلدية محافظة العلا
بلدية محافظة بدر
بلدية محافظة خيبر
بلدية محافظة الحناكية
بلدية محافظة المهد
بلدية ينبع النخل
بلدية وادى الفرع
بلدية العيص
بلدية الحسو
بلدية النخيل
بلدية المسيجيد والقاحة
بلدية العشاش
بلدية ثرب
بلدية السويرقية
بلدية الصلصلة
بلدية سليلة جهينة والمربع
أمانة منطقة الرياض
وكالة أمانة منطقة الرياض لشئون بلديات المنطقة
بلدية محافظة الخرج
بلدية محافظة الدوادمى
بلدية محافظة عفيف
بلدية محافظة المجمعة
بلدية محافظة الزلفى
بلدية محافظة وادي الدواسر
بلدية محافظة شقراء
بلدية محافظة القويعية
بلدية محافظة الدرعية
بلدية محافظة الافلاج
بلدية محافظة حوطة بنى تميم
بلدية حوطة سدير
بلدية الدلم
بلدية محافظة السليل
بلدية محافظة حريملاء
بلدية محافظة ضرماء
بلدية مرات
بلدية محافظة المزاحمية
بلدية محافظة الغاط
بلدية تمير
بلدية محافظة ثادق
بلدية جلاجل
بلدية محافظة الحريق
بلدية روضة سدير
بلدية الرين
بلدية الحلوة
بلدية الرويضة
بلدية العيينة والجبيلة
بلدية الهياثم
بلدية البجادية
بلدية ساجر
بلدية محافظة رماح
بلدية نفى
بلدية القصب
بلدية الهدار
بلدية الأرطاوية
بلدية الجمش
بلدية حلبان
بلدية أشيقر
بلدية الأحمر
بلدية عروى
بلدية الحصاة
بلدية بدائع العضيان
بلدية الجله وتبراك
بلدية البديع
بلدية السر
بلدية الحيانية والبرك
أمانة محافظة جدة
أمانة جدة (تخصيص البنود)
بلدية محافظة رابغ
بلدية محافظة القنفذة
بلدية محافظة الليث
بلدية محافظة خليص
(بلدية القوز(القنفذة
بلدية محافظة الكامل
بلدية أضم
بلدية العرضية الجنوبية
بلدية حجر
بلدية المظيلف
بلدية الحلى
بلدية الشواق
بلدية العرضية الشمالية
بلدية غميقة
بلدية سبت الجارة
أمانة المنطقة الشرقية
بلدية محافظة حفر الباطن
بلدية محافظة القطيف
بلدية محافظة الخفجى
بلدية محافظة الجبيل
بلدية محافظة بقيق
بلدية محافظة النعيرية
بلدية محافظة راس تنورة
بلدية الرفيعة
بلدية محافظة قرية العليا
بلدية مليجة
بلدية الصرار
بلدية السعيرة
بلدية اللهابة
بلدية عريعرة
بلدية جوف بني هاجر
بلدية القليب
بلدية عين دار
أمانة منطقة عسير
بلدية محافظة خميس مشيط
بلدية محافظة بيشة
بلدية محافظة ظهران الجنوب
بلدية محافظة النماص
بلدية محافظة محايل عسير
بلدية محافظة احد رفيدة
بلدية محافظة تثليث
بلدية تنومة
بلدية محافظة سراة عبيدة
بلدية محافظة بلقرن
بلدية محافظة رجال المع
بلدية محافظة المجاردة
بلدية الحرجة
بلدية الربوعة
بلدية بللسمر
بلدية طريب
بلدية البشائر
بلدية بارق
بلدية بحرأبو سكينة
بلدية وادي بن هشبل
بلدية البرك
بلدية الحازمي
بلدية صبح بللحمر
بلدية الفرشة
بلدية قنا
بلدية الصبيخة
بلدية الثنية وتبالة
بلدية النقيع
بلدية صمخ
بلدية بني عمرو
بلدية الساحل
بلدية الواديين
بلدية الأمواه
أمانة منطقة القصيم
بلدية محافظة عنيزة
بلدية محافظة الرس
بلدية محافظة البكيرية
بلدية محافظة المذنب
بلدية محافظة الاسياح
بلدية محافظة البدائع
بلدية محافظة رياض الخبراء
بلدية الخبراء
بلدية محافظة عيون الجواء
بلدية ضرية
بلدية البصر
بلدية دخنة
بلدية عقلة الصقور
بلدية محافظة النبهانية
بلدية محافظة الشماسية
بلدية قبة
بلدية القوارة
بلدية محافظة أبانات
بلدية الفوارة
بلدية العمار
بلدية شري
بلدية الفويلق
بلدية قصيبا
بلدية قصر بن عقيل
بلدية الدليمية
بلدية الظاهرية
بلدية البطين
أمانة منطقة جازان
بلدية محافظة صبياء
بلدية فيفا
بلدية محافظة ابى عريش
بلدية محافطة بيش
بلدية محافظة صامطة
بلدية محافظة احد المسارحة
بلدية الطوال
بلدية محافظة فرسان
بلدية وادى جازان
بلدية الموسم
بلدية محافظة ضمد
بلدية محافظة العارضة
بلدية محافظة الدرب
بلدية الحرث
بلدية محافظة الدائر بني مالك
بلدية الشقيق
بلدية محافظة العيدابي
بلدية هروب
بلدية السهى
بلدية محافظة الريث
بلدية المضايا
بلدية العالية
بلدية الحقو
بلدية قوز الجعافرة
بلدية القفل
أمانة منطقة الجوف
بلدية محافظة القريات
بلدية محافظة دومة الجندل
بلدية طبرجل
بلدية صوير
بلدية العيساوية
بلدية أبوعجرم
بلدية الناصفة
بلدية زلوم
بلدية الحديثة
أمانة منطقة تبوك
بلدية محافظة تيماء
بلدية محافظة املج
بلدية محافظة ضباء
بلدية محافظة الوجه
بلدية محافظة حقل
بلدية البدع
بلدية بير بن هرماس
بلدية القليبة
بلدية شواق
بلدية المنجور
بلدية الشبحة
بلدية بداء
بلدية أبو راكه
أمانة منطقة حائل
بلدية محافظة بقعاء
بلدية تربة بمنطقة حائل
بلدية جبة
بلدية الحائط
بلدية الخطة
بلدية الروضة
بلدية السليمى
بلدية الشملى
بلدية الكهفة
بلدية موقق
بلدية سميراء
بلدية محافظة الشنان
بلدية محافظة الغزالة
بلدية الحليفة السفلى
بلدية فيد
بلدية الأجفر
بلدية انبوان
أمانة منطقة الحدود الشمالية
بلدية محافظة رفحاء
بلدية محافظة طريف
بلدية العويقيلة
بلدية شعبة نصاب
بلدية لينه
بلدية طلعة التمياط
بلدية قرية بن شريم
بلدية روضة هباس
بلدية أم خنصر
أمانة منطقة الباحة
بلدية محافظة بلجرشى
بلدية محافظة قلوة
بلدية محافظة المندق
بلدية محافظة المخواة
بلدية محافظة العقيق
بلدية محافظة القرى
بلدية بني كبير
بلدية الحجرة
بلدية غامد الزناد
بلدية بني حسن
بلدية معشوقة
أمانة منطقة نجران
بلدية محافظة شرورة
بلدية محافظة يدمة
بلدية محافظة حبونا
بلدية سلطانة
بلدية محافظة بدرالجنوب
بلدية محافظة ثار
بلدية محافظة خباش
بلدية الوديعة
بلدية الحصينية
بلدية بئر عسكر
أمانة محافظة الطائف
بلدية محافظة تربة
بلدية محافظة الخرمة
بلدية محافظة رنية
بلدية المويه
بلدية ميسان
بلدية بني سعد
بلدية المحاني
بلدية قيا
بلدية القريع بني مالك
بلدية ظلم
أمانة محافظة الأحساء
أمانة الأحساء
بلدية يبرين
بلدية سلوى
بلدية البطحاء
بلدية عريعرة أمانة محافظة الأحساء
أمانة محافظة حفر الباطن
بلدية القيصومة
بلدية الصداوى
بلدية الذييبية
بلدية السعيرة
وزارة الصحة الديوان العام
المديرية العامة للشؤون الصحية بمنطقة الرياض
مدينة الملك سعود الطبية
مدينة الملك فهد الطبية
مستشفى الملك خالد التخصصي للعيون
مستشفى الامير محمد بن عبدالعزيز بالرياض
المركز السعودي لزراعة الأعضاء
المركز الوطني للطب البديل والتكميلي
اللجنة الوطنية لتعزيز الصحة النفسية
الشئون الصحية بمنطقة مكة المكرمة
فرع وزارة الصحة بمحافظة جدة
فرع وزارة الصحة بمحافظة الطائف
مكتب وزارة الصحة بمحافظة القنفذة
المشاعر المقدسة
مدينة الملك عبدالله الطبية بالعاصمة المقدسة
فرع وزارة الصحة بمنطقة المدينة المنورة
صحة القصيم - إدارة المشتريات والمناقصات
فرع وزارة الصحة بالمنطقة الشرقية
فرع وزارة الصحة بمحافظة الأحساء
فرع وزارة الصحة بمحافظة حفر الباطن
مستشفى الملك فهد التخصصي بالدمام
مدينة الملك خالد الطبية - المنطقة الشرقية
فرع وزارة الصحة بمنطقة عسير
مكتب وزارة الصحة بمحافظة بيشة
مدينة الملك فيصل الطبية لخدمة المناطق الجنوبية
فرع وزارة الصحة بمنطقة تبوك
فرع وزارة الصحة بمنطقة حائل
فرع وزارة الصحة بمنطقة الحدود الشمالية
فرع وزارة الصحة بمنطقة جازان
فرع وزارة الصحة بمنطقة نجران
فرع وزارة الصحة بمنطقة الباحة
فرع وزارة الصحة بمنطقة الجوف
مكتب وزارة الصحة بمحافظة القريات
مدينة الأمير محمد بن عبد العزيز الطبية
فرع وزارة الصحة بمنطقة القصيم
وزارة الصحـة - برنامج مكافحة الأمراض المزمنة
وزارة الصحـة - الأدارة العامة للطواري والسلامة والنقل الإسعافي
المديرية العامة للشئون الصحية بمنطقة الرياض - مستشفى الأمل
المديرية العامة للشئون الصحية بمنطقة الرياض - مستشفى اليمامة بالرياض
المديرية العامة للشئون الصحية بمنطقة الرياض - مستشفى الولادة والأطفال بالخرج
المديرية العامة للشئون الصحية بمنطقة الرياض - مستشفى حوطة بني تميم
التجمع الصحي الأول بالرياض - مستشفى المزاحمية العام
التجمع الصحي الأول بالرياض - مستشفى رويضة العرض
التجمع الصحي الثالث بالرياض - مستشفى الدوادمي
التجمع الصحي الأول بالرياض - مستشفى القويعية
المديرية العامة للشئون الصحية بمنطقة مكة المكرمة - مستشفى النورالتخصصي بمكه
المديرية العامة للشئون الصحية بالمنطقة الشرقية - مستشفى الجبيل
المديرية العامة للشئون الصحية بالمنطقة الشرقية - مستشفى العيون التخصصي بالظهران
المديرية العامة للشؤن الصحية بالقصيم - مستشفى الملك سعود بعنيزة
المديرية العامة للشؤن الصحية بالقصيم - مستشفى بريده المركزي
المديرية العامة للشئون الصحية في عسير - مستشفى الولادة والأطفال بخميس مشيط
المديرية العامة للشئون الصحية في عسير - مستشفى خميس مشيط
التجمع الصحي بالباحة - مستشفى الملك فهد بالباحة
التجمع الصحي بالباحة - مستشفى المخواه العام
المديرية العامة للشئون الصحية في الجوف - مستشفى النساء والولادة والاطفال بسكاكا
التجمع الصحي بنجران - مستشفى شروره العام
التجمع الصحي بنجران - مستشفى نجران العام
التجمع الصحي بالحدود الشمالية - مستشفى الولادة والأطفال بعرعر
مديرية الشئون الصحية بالطائف - مستشفى الملك عبد العزيز التخصصي
مديرية الشئون الصحية بالطائف - مستشفى الملك فيصل
مديرية الشئون الصحية بالطائف -  مستشفى ام الدوم العام
مديرية الشئون الصحية بجدة - مستشفى الملك عبدالعزيز بجدة
التجمع الصحي بحفر الباطن - مستشفى الولادة والأطفال بحفر الباطن
المديرية العامة للشئون الصحية بحفر الباطن - مستشفى حفر الباطن الجديد
المديرية العامة للشئون الصحية في الإحساء - مستشفى الأمير سعود بن جلوي
مديرية الشئون الصحية بمحافظة القنفذة - مستشفى نمرة العام
المركز العالمي لطب الحشود
مستشفى رابغ العام
المركز السعودي لسلامة المرضى - وزارة الصحة
التجمع الصحي بمنطقة القصيم
التجمع الصحي الأول بالمنطقة الشرقية
التشغيل الذاتي لبرنامج أمن المعلومات الصحية
التجمع الصحي الأول بمنطقة الرياض
تجمع الرياض الصحي الثاني
بند الوكلاء والوكلاء المساعدين
التجمع الصحي الأول بالرياض - مستشفى الخاصرة
برنامج الدعم الفني لأقسام الطوارئ في وزارة الصحة
مسير رواتب خدمة مدنية تجمع الشرقية الصحي
مسير خدمة مدنية تجمع الرياض الصحي الثاني
تجمع الرياض الصحي الأول
تجمع الشرقية الصحي
مسير خدمة مدنية تجمع الرياض الصحي الاول
تجمع الأحساء الصحي
تجمع الرياض الصحي الثالث
مسير خدمة مدنية تجمع الرياض الصحي الثالث
تجمع حائل الصحي
مسير التشغيل الذاتي لتجمع الرياض الصحي الثالث
التجمع الصحي بمكة المكرمة
تجمع المدينة المنورة الصحي
تجمع الطائف الصحي
التشغيل الذاتي لمستشفى الحناكية العام
تجمع حفر الباطن الصحي
تجمع حفر الباطن الصحي (الخدمة المدنية)
تجمع الجوف الصحي
تجمع الحدود الشمالية الصحي
تجمع تبوك الصحي
التجمع الصحي الأول بالرياض - برنامج التشغيل الذاتي لمستشفى الرين
التجمع الصحي بالباحة
تجمع جدة الصحي الاول
تجمع جدة الصحي الثاني
تجمع نجران الصحي
تجمع جازان الصحي
مسير رواتب التشغيل الذاتي لتجمع عسير الصحي
تجمع عسير الصحي
الأمانة العامة للجنة الوزارية للسلامة المرورية
هيئة الصحة العامة
المعهد الوطني لأبحاث الصحة
مركز التأمين الصحي الوطني
مجلس الضمان الصحي
المعهد الوطني لأبحاث الصحة
وزارة الاعلام
وزارة الإعلام - الديوان العام
هيئة الإذاعة والتلفزيون
وكالة الأنباء السعودية
الهيئة العامة لتنظيم الإعلام
التعليم العام
إدارة التربية والتعليم بمنطقة الرياض
إدارة التربية والتعليم بمحافظة الخرج
إدارة التربية والتعليم بمحافظتي الحوطة والحريق
إدارة التربية والتعليم بمحافظة القويعية
إدارة التربية والتعليم بمحافظة المجمعة
إدارة التربية والتعليم بمحافظة شقراء
إدارة التربية والتعليم بمحافظة الدوادمي
إدارة التربية والتعليم بمحافظة عفيف
إدارة التربية والتعليم بمحافظة الأفلاج
إدارة التربية والتعليم بمحافظة الزلفي
إدارة التربية والتعليم بمحافظة وادي الدواسر
إدارة التربية والتعليم بمحافظة الغاط
إدارة التربية والتعليم بمنطقة مكة المكرمة
إدارة التربية والتعليم بمحافظة جدة
إدارة التربية والتعليم بمحافظة الطائف
إدارة التربية والتعليم بمحافظة القنفذة
إدارة التربية والتعليم بمحافظة الليث
إدارة التربية والتعليم بمنطقة المدينة المنورة
إدارة التربية والتعليم بمحافظة ينبع
إدارة التربية والتعليم بمحافظة العلا
إدارة التربية والتعليم بمحافظة المهد
إدارة التربية والتعليم بمنطقة القصيم
إدارة التربية والتعليم بمحافظة عنيزة
إدارة التربية والتعليم بمحافظة الرس
إدارة التربية والتعليم بمحافظة البكيرية
إدارة التربية والتعليم بالمنطقة الشرقية
إدارة التربية والتعليم بمحافظة الأحساء
إدارة التربية والتعليم بمحافظة حفر الباطن
إدارة التربية والتعليم بمنطقة عسير
إدارة التربية والتعليم بمحافظة بيشة
إدارة التربية والتعليم بمحافظة النماص
إدارة التربية والتعليم بمحافظة محايل عسير
إدارة التربية والتعليم بمحافظة رجال المع
إدارة التربية والتعليم بمحافظة سراة عبيدة
إدارة التربية والتعليم بمنطقة الجوف
إدارة التربية والتعليم بمحافظة القريات
إدارة التربية والتعليم بمنطقة الباحة
إدارة التربية والتعليم بمحافظة المخواة
إدارة التربية والتعليم بمنطقة حائل
إدارة التربية والتعليم بمنطقة تبوك
إدارة التربية والتعليم بمنطقة الحدود الشمالية
إدارة التربية والتعليم بمنطقة جازان
إدارة التربية والتعليم بمحافظة صبيا
إدارة التربية والتعليم بمنطقة نجران
إدارة التربية والتعليم بظهران الجنوب
وزارة التعليم
إدارة التعليم بمنطقة الرياض
إدارة التعليم بمحافظة الخرج
إدارة التعليم بمحافظتي الحوطة و الحريق
إدارة التعليم بمحافظة القويعية
إدارة التعليم بمحافظة المجمعة
إدارة التعليم بمحافظة شقراء
إدارة التعليم بمحافظة الدوادمي
إدارة التعليم بمحافظة عفيف
إدارة التعليم بمحافظة الإفلاج
إدارة التعليم بمحافظة الزلفي
إدارة التعليم بمحافظة وادي الدواسر
إدارة التعليم بمحافظة الغاط
إدارة التعليم بمنطقة مكة المكرمة
إدارة التعليم بمحافظة جدة
إدارة التعليم بمحافظة الطائف
إدارة التعليم بمحافظة القنفذة
إدارة التعليم بمحافظة الليث
إدارة التعليم بمنطقة المدينة المنورة
إدارة التعليم بمحافظة ينبع
إدارة التعليم بمحافظة العلا
إدارة التعليم بمحافظة المهد
إدارة التعليم بمنطقة القصيم
إدارة التعليم بمحافظة عنيزة
إدارة التعليم بمحافظة الرس
إدارة التعليم بمحافظة المذنب
إدارة التعليم بمحافظة البكيرية
إدارة التعليم بالمنطقة الشرقية
إدارة التعليم بمحافظة الأحساء
إدارة التعليم بمحافظة حفر الباطن
إدارة التعليم بمنطقة عسير
إدارة التعليم بمحافظة بيشة
إدارة التعليم بمحافظة النماص
إدارة التعليم بمحافظة محايل عسير
إدارة التعليم بمحافظة رجال ألمع
إدارة التعليم بمحافظة سراة عبيدة
إدارة التعليم بمنطقة الجوف
إدارة التعليم بمحافظة القريات
إدارة التعليم بمنطقة الباحة
إدارة التعليم بمحافظة المخواة
إدارة التعليم بمنطقة حائل
إدارة التعليم بمنطقة تبوك
إدارة التعليم بمنطقة الحدود الشمالية
إدارة التعليم بمنطقة جازان
إدارة التعليم بمحافظة صبيا
إدارة التعليم بمنطقة نجران
إدارة التعليم بمحافظة ظهران الجنوب
إدارة التعليم بمحافظة شرورة
إدارة محاسبة المشاريع في ديوان الوزارة
معهد العاصمي النموذجي بالرياض
مكتب تحقيق الرؤية - وزارة التعليم
الأمانة العامة لمجلس شؤون الجامعات
وكالة الابتعاث
جامعة الملك سعود
جامعة الملك عبدالعزيز
جامعة الملك فهد للبترول والمعادن
جامعة الامام محمد بن سعود
معهد الأمير نايف للبحوث والخدمات الاستشارية
جامعة الملك فيصل
